Final table with combined global absolute abundance estimations from both datasets including functional annotations using cluster of orthologues groups (COG) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Protein Mass (fg) / Cell,,,,,,,,,,,,,,,,,,,,,
P0AEX3,Alpha-ketoglutarate permease OS=Escherichia coli (strain K12) GN=kgtP PE=1 SV=1,kgtP,6,323.34,47003.44462,2,9.71E-03,1.81E-02,1.65E-02,8.75E-03,1.13E-02,2.39E-02,7.26E-03,1.06E-02,2.57E-02,2.79E-02,3.25E-02,3.24E-02,6.23E-03,6.29E-03,1.88E-02,1.14E-02,1.25E-02,1.88E-02,1.22E-02,1.14E-02,1.05E-02,1.02E-02
P39829,D-galactarate dehydratase OS=Escherichia coli (strain K12) GN=garD PE=1 SV=2,garD,6,330.74,56348.07443,2,8.37E-04,2.49E-02,1.52E-03,9.54E-04,1.68E-03,6.65E-04,7.96E-04,9.46E-04,8.07E-04,1.74E-03,2.21E-03,3.38E-03,8.66E-05,6.82E-04,4.69E-04,7.27E-04,4.03E-04,6.67E-04,7.40E-04,6.68E-04,8.36E-04,3.65E-04
P0A9C9,"Fructose-1,6-bisphosphatase 1 class 2 OS=Escherichia coli (strain K12) GN=glpX PE=1 SV=1",glpX,6,329.32,35811.62041,2,1.11E-02,2.03E-02,2.37E-02,4.01E-03,7.06E-03,8.17E-03,1.58E-02,5.97E-03,5.31E-03,4.17E-03,3.51E-03,3.34E-03,2.85E-03,4.49E-03,8.54E-03,9.01E-03,7.59E-03,7.77E-03,7.00E-03,6.35E-03,7.68E-03,9.26E-03
P37647,2-dehydro-3-deoxygluconokinase OS=Escherichia coli (strain K12) GN=kdgK PE=3 SV=1,kdgK,6,437.31,33923.04409,2,3.08E-02,5.45E-02,5.30E-02,3.09E-02,3.12E-02,2.89E-02,2.70E-02,2.86E-02,2.59E-02,1.98E-02,1.53E-02,1.15E-02,8.69E-03,1.73E-02,3.73E-02,3.60E-02,3.98E-02,3.26E-02,2.09E-02,2.11E-02,1.58E-02,2.54E-02
P76142,Autoinducer 2-binding protein lsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1,lsrB,6,223.06,36643.90248,2,5.19E-03,7.33E-03,8.78E-03,9.92E-03,2.15E-02,6.73E-03,3.95E-03,6.08E-03,4.00E-03,6.75E-03,1.32E-02,2.52E-02,3.28E-02,2.75E-02,6.21E-03,1.18E-02,1.01E-02,6.19E-03,5.74E-03,1.77E-02,1.63E-02,5.52E-03
P25718,Alpha-amylase OS=Escherichia coli (strain K12) GN=malS PE=1 SV=1,malS,6,223.84,75646.94856,1,2.89E-03,3.83E-04,NA,3.66E-04,4.34E-04,6.77E-04,5.02E-04,4.65E-04,1.24E-03,2.73E-03,1.75E-03,1.32E-03,1.95E-03,9.65E-04,3.56E-04,2.53E-03,6.63E-04,NA,NA,4.21E-04,5.64E-04,NA
P0AA04,Phosphocarrier protein HPr OS=Escherichia coli (strain K12) GN=ptsH PE=1 SV=1,ptsH,6,457.8,9095.72664,2,3.75E-01,2.53E-01,2.90E-01,1.44E-01,1.80E-01,3.30E-01,2.04E-01,1.90E-01,3.11E-01,2.05E-01,1.49E-01,9.56E-02,1.45E-01,1.62E-01,3.23E-01,3.77E-01,3.93E-01,1.58E-01,2.63E-01,1.87E-01,2.30E-01,4.03E-01
P0C0L7,Proline/betaine transporter OS=Escherichia coli (strain K12) GN=proP PE=1 SV=1,proP,6,245,54792.07555,2,2.44E-02,3.73E-02,1.15E-02,4.87E-03,6.79E-03,1.16E-02,8.41E-03,4.21E-03,1.18E-02,7.69E-03,6.78E-03,5.81E-03,3.13E-02,3.01E-02,5.84E-02,3.80E-02,5.43E-02,2.71E-02,1.18E-02,9.46E-03,1.04E-02,2.05E-02
P69829,Nitrogen regulatory protein OS=Escherichia coli (strain K12) GN=ptsN PE=1 SV=1,ptsN,6,542.95,17930.42797,2,2.56E-02,5.71E-02,3.52E-02,2.12E-02,2.46E-02,2.45E-02,2.68E-02,2.47E-02,2.70E-02,2.71E-02,2.38E-02,1.95E-02,2.25E-02,2.08E-02,3.31E-02,2.35E-02,2.98E-02,2.57E-02,3.75E-02,7.17E-02,3.99E-02,2.64E-02
P31806,Uncharacterized protein yjeF OS=Escherichia coli (strain K12) GN=yjeF PE=1 SV=2,nnr,6,274.92,54598.23236,2,4.36E-03,7.79E-03,5.27E-03,6.41E-03,7.47E-03,5.68E-03,5.86E-03,5.30E-03,7.70E-03,9.83E-03,1.07E-02,1.69E-02,7.71E-03,6.92E-03,8.31E-03,8.60E-03,5.99E-03,6.95E-03,5.75E-03,1.08E-02,6.38E-03,5.21E-03
P60546,Guanylate kinase OS=Escherichia coli (strain K12) GN=gmk PE=1 SV=1,gmk,6,394.25,23560.01565,2,1.71E-02,3.12E-02,3.11E-02,7.60E-03,1.09E-02,1.05E-02,1.14E-02,9.07E-03,1.05E-02,7.94E-03,6.24E-03,5.31E-03,1.30E-02,1.43E-02,2.03E-02,2.02E-02,2.10E-02,1.69E-02,1.07E-02,1.09E-02,1.08E-02,1.44E-02
P0A720,Thymidylate kinase OS=Escherichia coli (strain K12) GN=tmk PE=1 SV=1,tmk,6,364.76,23750.43554,2,8.03E-03,1.07E-02,1.14E-02,3.60E-03,4.09E-03,5.57E-03,4.35E-03,4.90E-03,4.61E-03,2.74E-03,2.85E-03,2.45E-03,1.66E-03,1.25E-03,4.19E-03,4.54E-03,3.50E-03,4.89E-03,3.52E-03,1.93E-03,2.75E-03,3.01E-03
P0AFL6,Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2,ppx,6,339.72,58081.15167,2,2.97E-03,7.19E-03,5.22E-03,2.83E-03,3.42E-03,4.58E-03,3.48E-03,2.81E-03,6.86E-03,4.85E-03,4.29E-03,4.29E-03,2.92E-03,2.87E-03,2.51E-03,4.26E-03,4.28E-03,3.75E-03,3.17E-03,1.37E-03,2.04E-03,4.66E-03
P52061,Nucleoside-triphosphatase rdgB OS=Escherichia coli (strain K12) GN=rdgB PE=1 SV=1,rdgB,6,251.05,21007.85524,2,2.36E-02,3.71E-02,2.97E-02,1.12E-02,1.42E-02,1.65E-02,1.64E-02,1.59E-02,1.35E-02,1.02E-02,8.92E-03,7.12E-03,4.51E-03,5.00E-03,1.48E-02,1.07E-02,1.07E-02,1.31E-02,1.68E-02,9.59E-03,1.55E-02,1.63E-02
P0A9D4,Serine acetyltransferase OS=Escherichia coli (strain K12) GN=cysE PE=1 SV=1,cysE,6,277.21,29280.00172,2,1.94E-02,2.40E-02,3.01E-02,1.91E-02,2.17E-02,2.93E-02,2.58E-02,2.34E-02,2.32E-02,2.00E-02,1.70E-02,1.71E-02,8.78E-03,9.57E-03,1.34E-02,3.00E-02,2.64E-02,2.59E-02,2.52E-02,2.01E-02,2.34E-02,2.83E-02
P0A962,L-asparaginase 1 OS=Escherichia coli (strain K12) GN=ansA PE=1 SV=1,ansA,6,372.65,37085.75937,2,3.41E-02,3.88E-02,3.43E-02,1.72E-02,2.11E-02,2.45E-02,1.93E-02,1.68E-02,2.27E-02,2.16E-02,1.84E-02,1.52E-02,1.14E-02,1.06E-02,2.20E-02,2.79E-02,2.84E-02,2.42E-02,2.28E-02,1.55E-02,1.92E-02,2.77E-02
P75682,Uncharacterized protein yagE OS=Escherichia coli (strain K12) GN=yagE PE=1 SV=1,yagE,6,340.83,33277.40786,2,2.31E-03,4.08E-02,5.10E-02,5.35E-03,6.94E-03,4.25E-03,7.29E-03,4.40E-03,7.51E-03,8.54E-03,6.21E-03,3.40E-03,2.20E-03,4.86E-04,1.25E-03,1.37E-03,1.09E-03,2.91E-03,1.17E-02,5.91E-03,5.12E-03,4.48E-03
P0A959,Uncharacterized aminotransferase YfbQ OS=Escherichia coli (strain K12) GN=yfbQ PE=1 SV=1,alaA,6,395.68,45470.38651,2,7.59E-03,7.89E-03,1.56E-02,4.50E-03,7.45E-03,7.48E-03,8.27E-03,5.31E-03,5.96E-03,8.48E-03,7.79E-03,6.39E-03,1.53E-03,6.45E-04,3.25E-03,6.15E-03,4.68E-03,4.05E-03,4.78E-03,4.48E-03,5.64E-03,4.73E-03
P77434,Uncharacterized aminotransferase YfdZ OS=Escherichia coli (strain K12) GN=yfdZ PE=2 SV=1,alaC,6,292.7,46168.71805,2,7.14E-03,8.89E-03,7.22E-03,7.28E-03,5.76E-03,6.16E-03,5.93E-03,5.18E-03,7.70E-03,8.22E-03,6.45E-03,6.16E-03,4.26E-03,3.77E-03,9.54E-03,6.21E-03,5.88E-03,7.94E-03,7.60E-03,5.93E-03,6.06E-03,5.48E-03
P77581,Succinylornithine transaminase OS=Escherichia coli (strain K12) GN=astC PE=1 SV=1,astC,6,354.5,43619.9979,2,3.21E-03,1.62E-02,2.23E-02,5.69E-03,1.32E-02,1.02E-02,4.15E-03,4.68E-03,6.74E-03,1.72E-02,2.04E-02,1.82E-02,6.01E-03,5.56E-03,6.53E-03,6.41E-03,8.09E-03,4.12E-03,9.49E-03,9.95E-03,9.72E-03,3.75E-03
P10346,Glutamine transport ATP-binding protein GlnQ OS=Escherichia coli (strain K12) GN=glnQ PE=1 SV=1,glnQ,6,359.67,26696.11147,2,3.09E-02,3.56E-02,4.73E-02,3.29E-02,4.79E-02,4.22E-02,4.45E-02,4.91E-02,4.65E-02,5.18E-02,4.21E-02,3.75E-02,1.07E-02,1.45E-02,2.78E-02,6.02E-02,2.86E-02,4.28E-02,4.73E-02,3.67E-02,4.96E-02,3.82E-02
P37595,Isoaspartyl peptidase OS=Escherichia coli (strain K12) GN=iaaA PE=1 SV=2,iaaA,6,301.03,33354.63774,2,3.71E-03,2.67E-03,4.97E-03,4.41E-03,3.90E-03,3.14E-03,3.58E-03,4.15E-03,3.69E-03,3.19E-03,2.46E-03,2.76E-03,4.06E-03,4.85E-03,8.16E-03,8.05E-03,1.05E-02,4.47E-03,2.42E-03,3.22E-03,3.62E-03,3.70E-03
P77348,Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2,mppA,6,318.36,59844.8587,2,6.70E-03,2.50E-02,1.45E-02,7.18E-03,1.30E-02,9.75E-03,9.45E-03,9.29E-03,9.44E-03,1.14E-02,1.16E-02,1.00E-02,4.93E-03,6.05E-03,5.99E-03,4.98E-03,7.01E-03,6.75E-03,9.97E-03,8.40E-03,1.04E-02,7.67E-03
P14175,Glycine betaine/L-proline transport ATP-binding protein ProV OS=Escherichia coli (strain K12) GN=proV PE=1 SV=1,proV,6,426,44117.13409,2,2.11E-03,8.70E-02,1.90E-03,1.78E-04,3.25E-04,5.52E-04,3.58E-04,4.31E-04,1.91E-04,1.57E-04,1.69E-04,1.62E-04,6.87E-04,4.19E-04,3.07E-03,1.04E-03,3.99E-04,1.03E-03,1.89E-04,2.91E-04,2.74E-04,2.23E-04
P77795,Uncharacterized ABC transporter ATP-binding protein YdcT OS=Escherichia coli (strain K12) GN=ydcT PE=3 SV=1,ydcT,6,223.04,36999.06605,2,1.47E-03,2.34E-03,1.96E-03,1.36E-03,3.76E-03,2.07E-03,2.51E-03,1.69E-03,2.29E-03,4.14E-03,5.11E-03,7.53E-03,1.42E-03,8.74E-04,6.52E-04,1.68E-03,8.92E-04,1.08E-03,2.15E-03,2.49E-03,2.33E-03,1.20E-03
P37690,Uncharacterized protein yibP OS=Escherichia coli (strain K12) GN=yibP PE=4 SV=2,envC,6,297.87,46548.42826,2,4.38E-03,4.61E-03,4.40E-03,2.71E-03,2.99E-03,3.53E-03,3.15E-03,3.45E-03,4.28E-03,3.82E-03,3.78E-03,4.21E-03,2.38E-03,2.09E-03,2.60E-03,4.08E-03,2.81E-03,3.90E-03,4.77E-03,7.71E-03,5.51E-03,4.11E-03
P0AAJ5,Formate dehydrogenase-O iron-sulfur subunit OS=Escherichia coli (strain K12) GN=fdoH PE=1 SV=1,fdoH,6,280.88,33060.8989,2,2.28E-04,4.39E-02,1.86E-04,8.54E-04,3.81E-04,8.56E-05,1.97E-04,1.33E-04,1.37E-04,2.15E-04,1.92E-04,2.81E-04,1.62E-04,4.28E-05,6.49E-05,1.66E-04,4.58E-05,9.56E-05,2.37E-04,2.71E-04,2.27E-04,4.07E-05
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+] OS=Escherichia coli (strain K12) GN=gpsA PE=3 SV=1,gpsA,6,334.41,36320.64479,2,1.97E-02,5.72E-02,3.12E-02,1.85E-02,2.10E-02,1.84E-02,1.82E-02,1.95E-02,1.97E-02,1.83E-02,1.65E-02,1.66E-02,1.67E-02,1.23E-02,2.03E-02,1.58E-02,2.36E-02,1.63E-02,1.67E-02,1.08E-02,1.54E-02,1.31E-02
P0AFD6,NADH-quinone oxidoreductase subunit I OS=Escherichia coli (strain K12) GN=nuoI PE=1 SV=1,nuoI,6,261.7,20506.12496,2,1.00E-02,3.88E-02,2.73E-02,8.32E-03,1.51E-02,1.79E-02,1.60E-02,1.21E-02,1.21E-02,1.32E-02,1.25E-02,1.02E-02,3.47E-03,3.65E-03,4.71E-03,8.58E-03,9.64E-03,7.75E-03,1.17E-02,8.48E-03,1.22E-02,1.02E-02
P77258,N-ethylmaleimide reductase OS=Escherichia coli (strain K12) GN=nemA PE=1 SV=1,nemA,6,360.43,39474.11065,2,6.50E-03,1.29E-02,7.89E-03,3.58E-03,4.66E-03,5.01E-03,5.73E-03,3.66E-03,3.98E-03,2.61E-03,1.69E-03,1.16E-03,5.98E-04,3.38E-04,6.82E-03,1.72E-03,4.98E-03,5.79E-03,2.51E-03,1.38E-03,3.51E-03,3.95E-03
P23886,ATP-binding/permease protein CydC OS=Escherichia coli (strain K12) GN=cydC PE=3 SV=2,cydC,6,350.4,62862.68065,2,8.02E-03,1.66E-02,1.14E-02,5.38E-03,7.69E-03,1.07E-02,1.07E-02,1.08E-02,1.42E-02,1.19E-02,1.03E-02,1.08E-02,3.72E-03,8.06E-03,7.05E-03,1.43E-02,5.65E-03,7.27E-03,7.26E-03,4.87E-03,6.42E-03,1.15E-02
P29018,ATP-binding/permease protein CydD OS=Escherichia coli (strain K12) GN=cydD PE=1 SV=3,cydD,6,359.35,64997.28515,2,6.49E-03,9.80E-03,5.15E-03,3.60E-03,3.47E-03,5.30E-03,5.60E-03,7.69E-03,8.98E-03,7.15E-03,4.86E-03,5.00E-03,1.73E-03,3.27E-03,5.46E-03,5.14E-03,2.83E-03,4.24E-03,4.76E-03,2.07E-03,4.14E-03,8.51E-03
P24251,Sigma factor-binding protein crl OS=Escherichia coli (strain K12) GN=crl PE=1 SV=5,crl,6,305.92,15626.98076,2,5.09E-02,8.31E-02,9.01E-02,1.62E-02,3.31E-02,3.88E-02,3.41E-02,3.34E-02,3.67E-02,2.83E-02,2.00E-02,1.35E-02,6.82E-03,5.74E-03,6.62E-02,4.35E-02,3.83E-02,4.91E-02,3.73E-02,2.47E-02,3.49E-02,4.01E-02
P03841,Maltose operon periplasmic protein OS=Escherichia coli (strain K12) GN=malM PE=4 SV=1,malM,6,319.46,31905.64602,2,1.27E-02,4.82E-02,5.81E-02,1.77E-02,3.71E-02,4.97E-02,4.05E-02,3.06E-02,5.67E-02,5.49E-02,4.48E-02,2.66E-02,3.78E-03,3.10E-03,5.50E-03,4.65E-03,7.67E-03,7.53E-03,4.89E-02,2.98E-02,3.08E-02,2.55E-02
P16525,DNA replication terminus site-binding protein OS=Escherichia coli (strain K12) GN=tus PE=1 SV=1,tus,6,235.8,35743.13016,1,1.08E-03,1.89E-03,NA,3.62E-04,4.01E-04,1.03E-03,1.61E-03,2.96E-04,4.42E-04,6.04E-04,5.11E-04,5.55E-04,1.20E-04,2.98E-04,4.06E-04,1.53E-03,1.15E-03,NA,NA,3.13E-04,8.24E-04,NA
P75818,Uncharacterized lipoprotein ybjP OS=Escherichia coli (strain K12) GN=ybjP PE=1 SV=1,ybjP,6,591.02,18961.46217,2,4.23E-02,3.70E-02,5.72E-02,5.69E-02,6.63E-02,6.04E-02,6.23E-02,4.45E-02,6.20E-02,6.17E-02,6.29E-02,6.72E-02,1.74E-01,1.39E-01,1.12E-01,8.84E-02,1.08E-01,5.83E-02,5.44E-02,6.27E-02,4.23E-02,4.17E-02
P42616,Protein yqjC OS=Escherichia coli (strain K12) GN=yqjC PE=1 SV=3,yqjC,6,374.26,13879.22512,1,1.16E-02,1.04E-02,NA,4.09E-03,6.66E-03,9.57E-03,5.42E-03,4.87E-03,5.44E-03,8.76E-03,5.46E-03,5.11E-03,2.23E-02,1.45E-02,1.24E-02,9.61E-03,8.45E-03,NA,NA,2.87E-03,7.38E-03,NA
P37005,Uncharacterized tRNA/rRNA methyltransferase LasT OS=Escherichia coli (strain K12) GN=lasT PE=3 SV=2,lasT,6,350.97,25225.08769,2,2.92E-03,4.18E-03,7.14E-03,1.06E-03,1.93E-03,2.76E-03,2.19E-03,1.10E-03,2.15E-03,1.56E-03,1.43E-03,1.09E-03,1.01E-03,7.15E-04,1.97E-03,3.02E-03,2.74E-03,2.60E-03,2.41E-03,1.75E-03,1.61E-03,2.15E-03
P0A6P7,Probable GTP-binding protein engB OS=Escherichia coli (strain K12) GN=engB PE=1 SV=1,engB,6,364.97,23528.17928,2,4.76E-02,6.57E-02,6.78E-02,2.76E-02,3.76E-02,4.22E-02,3.90E-02,3.71E-02,2.95E-02,2.47E-02,2.25E-02,1.96E-02,1.89E-02,2.01E-02,3.70E-02,3.67E-02,3.64E-02,3.84E-02,3.77E-02,3.90E-02,4.27E-02,4.02E-02
P0CE60,Transposase insH for insertion sequence element IS5-13 OS=Escherichia coli (strain K12) GN=JW5895 PE=3 SV=1,JW58,6,295.89,37809.31919,2,2.94E-03,8.37E-03,5.99E-03,1.27E-03,3.95E-03,3.69E-03,3.49E-03,4.10E-03,3.36E-03,2.89E-03,2.10E-03,1.77E-03,1.04E-03,8.16E-04,1.62E-03,2.12E-03,1.63E-03,2.77E-03,2.73E-03,2.73E-03,3.17E-03,2.81E-03
Q46927,Uncharacterized protein ygdL OS=Escherichia coli (strain K12) GN=ygdL PE=3 SV=1,ygdL,6,194.88,28525.62512,1,2.26E-03,6.64E-03,NA,1.91E-03,3.10E-03,3.01E-03,1.85E-03,2.17E-03,1.41E-03,1.85E-03,4.93E-04,1.22E-03,4.49E-04,1.15E-03,6.61E-03,8.07E-03,8.24E-03,NA,NA,1.15E-03,1.52E-03,NA
P27303,Multidrug resistance protein A OS=Escherichia coli (strain K12) GN=emrA PE=3 SV=2,emrA,5,260.62,42691.61954,2,3.14E-03,9.87E-03,4.72E-03,6.01E-04,9.46E-04,4.02E-03,8.04E-04,1.41E-03,4.49E-03,2.78E-03,1.25E-03,1.15E-03,1.66E-03,1.06E-03,2.55E-03,2.12E-03,3.07E-03,2.39E-03,7.16E-04,6.13E-04,1.12E-03,1.91E-03
P0AAH8,Peptide transport system ATP-binding protein SapF OS=Escherichia coli (strain K12) GN=sapF PE=1 SV=1,sapF,5,203.01,30533.06637,1,1.51E-03,3.21E-03,NA,6.22E-04,2.74E-03,1.29E-03,1.45E-03,1.03E-04,6.23E-04,8.83E-04,3.14E-04,2.95E-04,4.67E-04,5.99E-04,5.37E-03,2.33E-03,7.51E-04,NA,NA,6.71E-04,7.46E-04,NA
P75777,UPF0194 membrane protein ybhG OS=Escherichia coli (strain K12) GN=ybhG PE=3 SV=1,ybhG,5,307.24,36375.63323,2,4.90E-03,1.04E-02,9.41E-03,2.93E-03,3.58E-03,5.05E-03,3.59E-03,3.82E-03,5.16E-03,4.68E-03,4.58E-03,4.66E-03,4.59E-03,5.77E-03,4.09E-03,5.55E-03,8.68E-03,4.76E-03,3.90E-03,2.83E-03,4.38E-03,6.07E-03
P31455,Uncharacterized protein YidR OS=Escherichia coli (strain K12) GN=yidR PE=4 SV=4,yidR,5,216.13,46139.8176,2,8.23E-03,4.83E-03,4.46E-03,4.45E-03,5.93E-03,6.33E-03,6.99E-03,4.72E-03,4.74E-03,4.34E-03,4.04E-03,3.73E-03,1.24E-02,7.17E-03,1.37E-02,1.08E-02,2.10E-02,1.01E-02,8.59E-03,7.77E-03,7.62E-03,8.58E-03
P0AE85,Periplasmic protein CpxP OS=Escherichia coli (strain K12) GN=cpxP PE=1 SV=1,cpxP,5,249.98,18935.33096,2,1.03E-02,3.97E-03,4.02E-03,1.55E-02,2.21E-02,4.89E-03,2.33E-02,4.66E-02,3.09E-03,4.15E-03,4.40E-03,4.04E-03,3.34E-04,2.97E-04,2.11E-03,1.65E-02,9.87E-04,5.50E-03,1.63E-02,9.55E-03,1.27E-02,1.09E-02
P05637,Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] OS=Escherichia coli (strain K12) GN=apaH PE=1 SV=2,apaH,5,276.12,31258.68847,2,2.97E-03,4.77E-03,3.30E-03,2.62E-03,2.35E-03,2.13E-03,2.12E-03,2.36E-03,1.95E-03,2.05E-03,2.16E-03,2.12E-03,9.17E-04,1.20E-03,3.26E-03,3.11E-03,3.11E-03,2.17E-03,2.09E-03,1.87E-03,2.07E-03,1.61E-03
P0AFX9,Sigma-E factor regulatory protein rseB OS=Escherichia coli (strain K12) GN=rseB PE=1 SV=1,rseB,5,193.29,35709.28651,2,5.41E-03,5.91E-03,4.75E-03,3.92E-03,4.53E-03,4.82E-03,5.02E-03,5.30E-03,3.22E-03,3.38E-03,3.52E-03,5.86E-03,4.49E-03,3.03E-03,6.23E-03,1.04E-02,8.08E-03,5.54E-03,4.66E-03,8.17E-03,5.49E-03,6.29E-03
P0AFB5,Nitrogen regulation protein NR(II) OS=Escherichia coli (strain K12) GN=glnL PE=1 SV=1,glnL,5,227.09,38514.26871,2,4.23E-03,9.87E-04,1.45E-03,6.67E-04,6.38E-04,1.06E-03,1.56E-03,8.30E-04,1.34E-03,1.15E-03,1.70E-03,2.14E-03,4.45E-04,1.74E-04,9.86E-04,1.48E-03,1.98E-03,1.17E-03,1.57E-03,1.87E-03,1.12E-03,2.00E-03
P0AE70,mRNA interferase MazF OS=Escherichia coli (strain K12) GN=mazF PE=1 SV=1,mazF,5,293.79,12072.17366,1,4.56E-03,3.92E-03,NA,3.23E-03,2.77E-03,4.18E-03,1.44E-03,5.33E-03,2.05E-03,3.92E-03,7.35E-04,3.40E-03,2.36E-03,5.40E-03,1.74E-03,3.46E-03,1.82E-03,NA,NA,1.42E-03,1.31E-03,NA
P46888,Universal stress protein C OS=Escherichia coli (strain K12) GN=uspC PE=2 SV=1,uspC,5,275.11,15604.9098,1,6.74E-03,2.57E-03,NA,5.03E-03,3.96E-03,3.51E-03,3.51E-03,1.45E-02,4.32E-03,5.97E-03,8.24E-03,6.06E-03,2.62E-03,5.62E-03,1.81E-03,3.28E-03,4.55E-03,NA,NA,2.12E-03,2.54E-03,NA
P0AAB8,Universal stress protein D OS=Escherichia coli (strain K12) GN=uspD PE=2 SV=1,uspD,5,275.01,16264.49707,2,8.64E-03,1.09E-02,7.91E-03,9.83E-03,5.28E-03,1.23E-02,6.83E-03,5.39E-03,6.06E-03,7.19E-03,7.02E-03,8.09E-03,2.78E-02,3.64E-02,3.19E-02,2.83E-02,3.32E-02,1.07E-02,7.59E-03,1.18E-02,5.84E-03,7.49E-03
P31802,Nitrate/nitrite response regulator protein narP OS=Escherichia coli (strain K12) GN=narP PE=3 SV=1,narP,5,323.85,23542.38514,2,9.82E-03,3.19E-02,1.69E-02,5.69E-03,1.06E-02,1.18E-02,9.78E-03,8.45E-03,6.90E-03,7.11E-03,5.91E-03,4.85E-03,2.16E-03,1.37E-03,6.20E-03,1.18E-02,7.16E-03,8.19E-03,1.09E-02,8.35E-03,1.25E-02,1.07E-02
P76270,Protein yebR OS=Escherichia coli (strain K12) GN=yebR PE=1 SV=2,msrC,5,308.29,18092.23628,2,3.16E-02,3.54E-02,3.64E-02,2.68E-02,3.15E-02,3.12E-02,3.22E-02,2.79E-02,4.06E-02,3.48E-02,2.78E-02,2.07E-02,2.29E-02,2.73E-02,6.39E-02,5.69E-02,5.41E-02,4.81E-02,3.20E-02,3.75E-02,3.54E-02,1.08E-01
P0AAR3,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase ybaK OS=Escherichia coli (strain K12) GN=ybaK PE=1 SV=1,ybaK,5,241.73,17064.22625,2,1.47E-02,2.16E-02,1.87E-02,9.35E-03,8.41E-03,1.82E-02,9.04E-03,8.32E-03,1.51E-02,1.19E-02,1.08E-02,9.11E-03,2.45E-02,2.43E-02,4.33E-02,2.99E-02,7.37E-02,2.54E-02,1.58E-02,1.31E-02,1.42E-02,1.73E-02
P21363,Protein yciE OS=Escherichia coli (strain K12) GN=yciE PE=1 SV=1,yciE,5,181.98,18931.47424,2,9.71E-03,5.57E-03,4.48E-03,1.23E-02,9.02E-03,1.22E-02,8.19E-03,7.42E-03,8.89E-03,9.53E-03,1.14E-02,1.43E-02,5.15E-03,6.05E-03,1.31E-02,1.15E-02,9.65E-03,4.69E-03,1.29E-02,1.29E-02,1.10E-02,5.34E-03
P76235,UPF0229 protein yeaH OS=Escherichia coli (strain K12) GN=yeaH PE=3 SV=1,yeaH,5,287.33,49343.80506,2,1.67E-03,2.34E-03,6.57E-04,3.78E-03,3.37E-03,3.07E-03,2.68E-03,1.17E-03,2.55E-03,3.89E-03,6.24E-03,1.10E-02,4.71E-03,5.62E-03,2.05E-03,6.10E-04,4.98E-03,1.33E-03,3.78E-03,4.64E-03,2.20E-03,1.52E-03
P0A8A2,UPF0082 protein yeeN OS=Escherichia coli (strain K12) GN=yeeN PE=1 SV=1,yeeN,5,254.88,25833.16003,2,9.00E-02,2.02E-01,2.14E-01,4.38E-02,4.63E-02,6.21E-02,4.87E-02,4.69E-02,4.70E-02,3.36E-02,2.46E-02,1.61E-02,3.78E-02,4.06E-02,9.71E-02,6.91E-02,9.76E-02,7.31E-02,4.58E-02,2.81E-02,3.98E-02,5.35E-02
P76346,Protein mtfA OS=Escherichia coli (strain K12) GN=mtfA PE=1 SV=2,mtfA,5,307.81,30242.07969,2,2.16E-02,3.97E-02,5.11E-02,3.44E-02,4.18E-02,2.92E-02,3.40E-02,3.52E-02,4.40E-02,5.18E-02,5.05E-02,3.95E-02,4.64E-03,5.86E-03,9.34E-03,1.35E-02,1.06E-02,1.73E-02,5.46E-02,3.91E-02,5.03E-02,2.85E-02
P22525,"Probable L,D-transpeptidase YcbB OS=Escherichia coli (strain K12) GN=ycbB PE=1 SV=2",ycbB,5,294.83,67751.73072,1,7.34E-03,5.24E-03,NA,4.18E-03,2.21E-03,6.22E-03,4.80E-03,4.41E-03,6.61E-03,5.18E-03,5.22E-03,5.27E-03,1.17E-02,2.17E-03,6.51E-03,6.37E-03,8.72E-03,NA,NA,2.66E-03,2.74E-03,NA
P32157,Protein yiiM OS=Escherichia coli (strain K12) GN=yiiM PE=1 SV=2,yiiM,5,333.07,25308.67636,2,3.10E-03,2.84E-03,2.39E-03,2.70E-03,2.60E-03,2.33E-03,2.74E-03,2.05E-03,2.40E-03,1.86E-03,2.05E-03,1.90E-03,4.71E-03,4.62E-03,5.07E-03,2.87E-03,3.52E-03,3.12E-03,3.18E-03,4.31E-03,2.67E-03,2.62E-03
P32680,Uncharacterized protein yjaG OS=Escherichia coli (strain K12) GN=yjaG PE=4 SV=1,yjaG,5,256.75,22580.06443,2,3.74E-03,6.17E-03,5.66E-03,2.23E-03,4.25E-03,3.62E-03,3.81E-03,3.21E-03,3.17E-03,2.86E-03,2.02E-03,2.01E-03,2.01E-03,1.67E-03,4.82E-03,4.29E-03,3.82E-03,4.35E-03,2.62E-03,2.54E-03,2.31E-03,2.91E-03
